cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1195357,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1195318,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1177444,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1184604,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1185608,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1192127,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1178489,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1191745,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1191423,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190917,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1094767,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1185598,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1189487,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1197674,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1179298,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1198113,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1187851,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1187909,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1189582,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1187426,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1095650,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1198748,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1097394,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1181981,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1190454,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1096845,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1188977,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1186856,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1190862,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1183507,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1196693,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1191670,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1177441,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1179756,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1196120,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1181732,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1180554,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1186383,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1094103,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1095500,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1096768,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177550,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1195512,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1179605,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1094013,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1179241,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1179861,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1097013,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1096457,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1179963,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1184079,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1181306,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1095648,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177617,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1181268,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1180796,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1094919,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190033,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189276,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1097366,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1183178,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1191982,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1187625,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1096123,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189954,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1179591,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1182684,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1181638,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1191236,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1195904,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1184860,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1186136,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1180750,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1179801,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1189524,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1093946,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1093853,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1197293,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1178691,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1177526,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1188112,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1180636,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1185337,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1187738,2kmUTM40E322S7656,2019,"SINP 974",Rattachement
1191047,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1181932,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1182258,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1196802,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1191330,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1193029,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1188766,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1192871,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1183824,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1187110,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1186202,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1182862,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1184566,2kmUTM40E318S7664,2019,"SINP 974",Rattachement
1189248,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1197587,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1192252,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
