cle_obs,nom,definition,valeur,unite,thematique,type
1179710,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189748,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187661,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186058,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191707,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096762,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184481,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097166,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1198421,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177645,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095585,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192222,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189467,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185608,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191159,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191964,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097284,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190171,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180100,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189668,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178628,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177664,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186790,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180667,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178750,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180975,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197316,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094881,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178481,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190981,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178408,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181281,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097114,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1195405,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095307,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192423,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
