cle_obs,code_me,version_me,date_me,type_info_geo
1178832,FRLC06,2,2016-11-01,Rattachement
1185055,FRLC05,2,2016-11-01,Rattachement
1188611,FRLC05,2,2016-11-01,Rattachement
1096330,FRLC11,2,2016-11-01,Rattachement
1191470,FRLC09,2,2016-11-01,Rattachement
1095274,FRLC11,2,2016-11-01,Rattachement
1185388,FRLC05,2,2016-11-01,Rattachement
1193038,FRLC12,2,2016-11-01,Rattachement
1183426,FRLC05,2,2016-11-01,Rattachement
1187681,FRLC08,2,2016-11-01,Rattachement
1097198,FRLC08,2,2016-11-01,Rattachement
1195393,FRLC06,2,2016-11-01,Rattachement
1198194,FRLC06,2,2016-11-01,Rattachement
1186587,FRLC08,2,2016-11-01,Rattachement
1180438,FRLC05,2,2016-11-01,Rattachement
1182997,FRLC05,2,2016-11-01,Rattachement
1198514,FRLC05,2,2016-11-01,Rattachement
1188576,FRLC05,2,2016-11-01,Rattachement
1190704,FRLC09,2,2016-11-01,Rattachement
1188328,FRLC05,2,2016-11-01,Rattachement
1189064,FRLC09,2,2016-11-01,Rattachement
1188993,FRLC09,2,2016-11-01,Rattachement
1179146,FRLC06,2,2016-11-01,Rattachement
1195849,FRLC06,2,2016-11-01,Rattachement
1196670,FRLC08,2,2016-11-01,Rattachement
1195864,FRLC06,2,2016-11-01,Rattachement
1197823,FRLC06,2,2016-11-01,Rattachement
1185294,FRLC05,2,2016-11-01,Rattachement
1096689,FRLC09,2,2016-11-01,Rattachement
1187831,FRLC05,2,2016-11-01,Rattachement
1096979,FRLC11,2,2016-11-01,Rattachement
1192892,FRLC12,2,2016-11-01,Rattachement
1186146,FRLC05,2,2016-11-01,Rattachement
1094782,FRLC11,2,2016-11-01,Rattachement
1094833,FRLC11,2,2016-11-01,Rattachement
1191180,FRLC09,2,2016-11-01,Rattachement
1096152,FRLC11,2,2016-11-01,Rattachement
1095305,FRLC11,2,2016-11-01,Rattachement
1094943,FRLC11,2,2016-11-01,Rattachement
1184633,FRLC05,2,2016-11-01,Rattachement
1197993,FRLC06,2,2016-11-01,Rattachement
1096108,FRLC11,2,2016-11-01,Rattachement
1180851,FRLC05,2,2016-11-01,Rattachement
1179816,FRLC05,2,2016-11-01,Rattachement
1184004,FRLC05,2,2016-11-01,Rattachement
